position_noise,position_filtred
    61.98,    58.72
    52.72,    58.72
    98.24,    58.72
    67.07,    58.72
    64.89,    74.72
    55.52,    74.72
    69.67,    74.72
    47.81,    74.72
    44.25,    90.72
   108.09,    90.72
    84.72,    90.72
    82.45,    90.72
    97.09,   106.72
   140.24,   106.72
    98.37,   106.72
   116.74,   106.72
   121.81,   122.72
   125.88,   122.72
   132.40,   122.72
   107.21,   122.72
   178.42,   138.72
   144.74,   138.72
   123.89,   138.72
   107.88,   138.72
   137.14,   153.86
   170.98,   153.86
   153.11,   153.86
   125.13,   153.86
   198.84,   167.57
   136.88,   167.57
   155.32,   167.57
   191.09,   167.57
   168.57,   179.81
   177.02,   179.81
   148.97,   179.81
   188.76,   179.81
   169.93,   190.56
   205.89,   190.56
   208.31,   190.56
   177.45,   190.56
   181.36,   199.83
   202.91,   199.83
   163.51,   199.83
   180.05,   199.83
   203.24,   207.62
   179.89,   207.62
   234.94,   213.92
   219.46,   213.92
   212.46,   220.35
   222.54,   220.35
   219.22,   228.18
   207.40,   228.18
   254.39,   237.46
   248.17,   237.46
   241.19,   248.19
   268.16,   248.19
   271.13,   260.36
   262.26,   260.36
   300.26,   273.99
   266.10,   273.99
   278.21,   289.09
   259.01,   289.09
   333.30,   305.66
   296.00,   305.66
   326.65,   323.69
   319.38,   323.69
   346.14,   343.19
   317.13,   343.19
   364.21,   364.16
   361.10,   364.16
   413.74,   386.59
   404.73,   386.59
   386.14,   410.50
   375.05,   410.50
   403.12,   435.87
   452.40,   435.87
   447.87,   462.71
   461.60,   462.71
   509.10,   491.02
   498.93,   491.02
   519.98,   520.80
   492.32,   520.80
   541.77,   552.04
   568.59,   552.04
   573.94,   584.14
   588.20,   584.14
   616.35,   616.19
   568.16,   616.19
   661.94,   648.20
   580.47,   648.20
   627.51,   680.20
   688.63,   680.20
   737.27,   712.20
   715.85,   712.20
   742.50,   744.20
   736.90,   744.20
   762.84,   776.20
   834.20,   776.20
   805.99,   808.20
   800.08,   808.20
   857.43,   840.20
   856.66,   840.20
   885.81,   872.20
   854.47,   872.20
   899.66,   904.20
   858.51,   904.20
   930.70,   936.20
   938.49,   936.20
  1000.12,   968.20
   951.74,   968.20
   986.66,  1000.20
  1028.49,  1000.20
  1036.19,  1032.20
  1035.39,  1032.20
  1044.68,  1064.20
  1050.78,  1064.20
  1124.94,  1096.20
  1084.74,  1096.20
  1157.99,  1128.20
  1117.61,  1128.20
  1153.40,  1160.20
  1179.51,  1160.20
  1183.35,  1192.20
  1216.59,  1192.20
  1243.92,  1224.20
  1201.44,  1224.20
  1267.78,  1256.20
  1241.34,  1256.20
  1278.36,  1288.20
  1282.22,  1288.20
  1337.70,  1320.20
  1284.82,  1320.20
  1405.70,  1352.20
  1345.18,  1352.20
  1434.40,  1384.20
  1368.64,  1384.20
  1398.91,  1416.20
  1451.53,  1416.20
  1417.41,  1448.20
  1442.00,  1448.20
  1505.48,  1480.20
  1475.98,  1480.20
  1513.35,  1512.20
  1508.06,  1512.20
  1551.09,  1544.20
  1564.51,  1544.20
  1572.07,  1576.20
  1576.62,  1576.20
  1616.83,  1608.20
  1590.88,  1608.20
  1621.19,  1640.20
  1649.21,  1640.20
  1663.46,  1672.20
  1663.84,  1672.20
  1709.77,  1704.20
  1683.55,  1704.20
  1754.48,  1736.20
  1697.34,  1736.20
  1773.60,  1768.20
  1779.83,  1768.20
  1849.55,  1800.20
  1818.81,  1800.20
  1832.41,  1832.20
  1801.19,  1832.20
  1868.73,  1864.20
  1886.64,  1864.20
  1869.49,  1896.20
  1882.83,  1896.20
  1943.54,  1928.20
  1927.79,  1928.20
  1916.18,  1960.20
  1940.53,  1960.20
  1998.86,  1992.20
  1988.20,  1992.20
  2022.27,  2024.20
  2029.53,  2024.20
  2028.27,  2056.20
  2058.73,  2056.20
  2114.26,  2088.20
  2105.91,  2088.20
  2094.66,  2120.20
  2114.88,  2120.20
  2142.73,  2152.20
  2192.46,  2152.20
  2173.94,  2184.20
  2215.43,  2184.20
  2219.72,  2216.20
  2185.49,  2216.20
  2243.93,  2248.20
  2280.81,  2248.20
  2279.45,  2280.20
  2262.66,  2280.20
  2345.93,  2312.20
  2313.72,  2312.20
  2350.63,  2344.20
  2370.26,  2344.20
  2388.88,  2376.20
  2363.18,  2376.20
  2398.86,  2408.20
  2396.87,  2408.20
  2425.05,  2440.20
  2446.84,  2440.20
  2464.61,  2472.20
  2493.30,  2472.20
  2488.96,  2504.20
  2524.96,  2504.20
  2518.73,  2536.20
  2541.29,  2536.20
  2574.03,  2568.20
  2574.83,  2568.20
  2599.23,  2600.20
  2595.79,  2600.20
  2646.18,  2632.20
  2650.66,  2632.20
