position_noise,position_filtred,real_position,pos1,pos2,pos3
 -3668.88, -3637.28, -3652.26, -3668.88, -3630.82, -3645.28
 -3627.36, -3621.28, -3641.78, -3627.36, -3668.88, -3630.82
 -3606.90, -3621.28, -3624.05, -3606.90, -3627.36, -3668.88
 -3578.45, -3605.28, -3596.08, -3578.45, -3606.90, -3627.36
 -3623.61, -3605.28, -3605.77, -3623.61, -3578.45, -3606.90
 -3634.70, -3589.28, -3621.63, -3634.70, -3623.61, -3578.45
 -3555.31, -3589.28, -3593.16, -3555.31, -3634.70, -3623.61
 -3564.80, -3573.28, -3573.29, -3564.80, -3555.31, -3634.70
 -3581.16, -3573.28, -3571.40, -3581.16, -3564.80, -3555.31
 -3513.32, -3557.28, -3544.51, -3513.32, -3581.16, -3564.80
 -3586.88, -3557.28, -3561.40, -3586.88, -3513.32, -3581.16
 -3535.42, -3541.28, -3548.89, -3535.42, -3586.88, -3513.32
 -3531.30, -3541.28, -3541.94, -3531.30, -3535.42, -3586.88
 -3507.80, -3525.28, -3520.24, -3507.80, -3531.30, -3535.42
 -3523.52, -3525.28, -3519.58, -3523.52, -3507.80, -3531.30
 -3467.74, -3509.28, -3493.01, -3467.74, -3523.52, -3507.80
 -3480.37, -3509.28, -3483.35, -3480.37, -3467.74, -3523.52
 -3517.15, -3493.28, -3496.66, -3517.15, -3480.37, -3467.74
 -3488.46, -3493.28, -3496.68, -3488.46, -3517.15, -3480.37
 -3477.08, -3477.28, -3487.55, -3477.08, -3488.46, -3517.15
 -3480.72, -3477.28, -3480.80, -3480.72, -3477.08, -3488.46
 -3484.74, -3461.28, -3482.12, -3484.74, -3480.72, -3477.08
 -3446.64, -3461.28, -3465.02, -3446.64, -3484.74, -3480.72
 -3409.18, -3445.28, -3434.26, -3409.18, -3446.64, -3484.74
 -3447.90, -3445.28, -3434.78, -3447.90, -3409.18, -3446.64
 -3447.18, -3429.28, -3441.09, -3447.18, -3447.90, -3409.18
 -3420.03, -3429.28, -3433.73, -3420.03, -3447.18, -3447.90
 -3432.91, -3413.28, -3431.00, -3432.91, -3420.03, -3447.18
 -3397.14, -3413.28, -3412.88, -3397.14, -3432.91, -3420.03
 -3390.44, -3397.28, -3399.75, -3390.44, -3397.14, -3432.91
 -3407.02, -3397.28, -3399.85, -3407.02, -3390.44, -3397.14
 -3351.94, -3381.28, -3376.72, -3351.94, -3407.02, -3390.44
 -3371.51, -3381.28, -3370.91, -3371.51, -3351.94, -3407.02
 -3351.16, -3365.28, -3358.07, -3351.16, -3371.51, -3351.94
 -3374.63, -3365.28, -3366.29, -3374.63, -3351.16, -3371.51
 -3333.93, -3349.28, -3350.37, -3333.93, -3374.63, -3351.16
 -3360.18, -3349.28, -3353.84, -3360.18, -3333.93, -3374.63
 -3346.19, -3333.28, -3348.81, -3346.19, -3360.18, -3333.93
 -3378.24, -3333.28, -3364.55, -3378.24, -3346.19, -3360.18
 -3353.79, -3317.28, -3360.67, -3353.79, -3378.24, -3346.19
 -3322.45, -3317.28, -3342.19, -3322.45, -3353.79, -3378.24
 -3298.67, -3301.28, -3315.78, -3298.67, -3322.45, -3353.79
 -3273.92, -3301.28, -3290.26, -3273.92, -3298.67, -3322.45
 -3284.40, -3285.28, -3283.28, -3284.40, -3273.92, -3298.67
 -3310.97, -3285.28, -3295.94, -3310.97, -3284.40, -3273.92
 -3286.39, -3269.28, -3294.25, -3286.39, -3310.97, -3284.40
 -3238.93, -3269.28, -3266.75, -3238.93, -3286.39, -3310.97
 -3246.65, -3253.28, -3250.70, -3246.65, -3238.93, -3286.39
 -3231.86, -3253.28, -3237.97, -3231.86, -3246.65, -3238.93
 -3237.06, -3237.28, -3236.92, -3237.06, -3231.86, -3246.65
 -3291.70, -3237.28, -3263.51, -3291.70, -3237.06, -3231.86
 -3227.02, -3221.28, -3250.26, -3227.02, -3291.70, -3237.06
 -3212.63, -3221.28, -3230.61, -3212.63, -3227.02, -3291.70
 -3212.99, -3205.28, -3215.21, -3212.99, -3212.63, -3227.02
 -3212.36, -3205.28, -3212.61, -3212.36, -3212.99, -3212.63
 -3174.48, -3189.28, -3193.53, -3174.48, -3212.36, -3212.99
 -3166.71, -3189.28, -3176.91, -3166.71, -3174.48, -3212.36
 -3139.50, -3173.28, -3154.40, -3139.50, -3166.71, -3174.48
 -3173.08, -3173.28, -3160.82, -3173.08, -3139.50, -3166.71
 -3161.93, -3157.28, -3161.90, -3161.93, -3173.08, -3139.50
 -3171.66, -3157.28, -3168.65, -3171.66, -3161.93, -3173.08
 -3138.76, -3141.28, -3153.59, -3138.76, -3171.66, -3161.93
 -3185.66, -3141.28, -3167.69, -3185.66, -3138.76, -3171.66
 -3108.69, -3125.28, -3139.36, -3108.69, -3185.66, -3138.76
 -3097.60, -3125.28, -3115.97, -3097.60, -3108.69, -3185.66
 -3110.46, -3109.28, -3105.88, -3110.46, -3097.60, -3108.69
 -3127.76, -3109.28, -3116.97, -3127.76, -3110.46, -3097.60
 -3092.87, -3093.28, -3107.43, -3092.87, -3127.76, -3110.46
 -3105.38, -3093.28, -3104.94, -3105.38, -3092.87, -3127.76
 -3119.46, -3077.28, -3110.33, -3119.46, -3105.38, -3092.87
 -3085.66, -3077.28, -3100.21, -3085.66, -3119.46, -3105.38
 -3057.33, -3061.28, -3077.13, -3057.33, -3085.66, -3119.46
 -3043.53, -3061.28, -3055.15, -3043.53, -3057.33, -3085.66
 -3050.74, -3045.28, -3049.44, -3050.74, -3043.53, -3057.33
 -3041.49, -3045.28, -3044.91, -3041.49, -3050.74, -3043.53
 -3057.83, -3029.28, -3051.20, -3057.83, -3041.49, -3050.74
 -3051.25, -3029.28, -3051.82, -3051.25, -3057.83, -3041.49
 -3023.55, -3013.28, -3038.50, -3023.55, -3051.25, -3057.83
 -3044.53, -3013.28, -3038.65, -3044.53, -3023.55, -3051.25
 -2979.58, -2997.28, -3008.56, -2979.58, -3044.53, -3023.55
 -2994.83, -2997.28, -2998.03, -2994.83, -2979.58, -3044.53
 -2961.01, -2981.28, -2975.38, -2961.01, -2994.83, -2979.58
 -2961.39, -2981.28, -2966.84, -2961.39, -2961.01, -2994.83
